pair,num_grids,lookback_days,recalc_hours,min_spacing_pct,max_trades_per_day,pnl,pnl_pct,max_drawdown,trades,win_rate,sharpe
DOGE-USD,5,7,6,0.01,10,-460.4283490246944,-15.34761163415648,24.396386988637524,437,63.133640552995395,-0.22313848083877796
DOGE-USD,5,7,6,0.01,20,-460.4283490246944,-15.34761163415648,24.396386988637524,437,63.133640552995395,-0.22313848083877796
DOGE-USD,5,7,6,0.01,50,-460.4283490246944,-15.34761163415648,24.396386988637524,437,63.133640552995395,-0.22313848083877796
DOGE-USD,5,7,6,0.01,0,-460.4283490246944,-15.34761163415648,24.396386988637524,437,63.133640552995395,-0.22313848083877796
DOGE-USD,5,7,6,0.015,10,-460.4283490246944,-15.34761163415648,24.396386988637524,437,63.133640552995395,-0.22313848083877796
DOGE-USD,5,7,6,0.015,20,-460.4283490246944,-15.34761163415648,24.396386988637524,437,63.133640552995395,-0.22313848083877796
DOGE-USD,5,7,6,0.015,50,-460.4283490246944,-15.34761163415648,24.396386988637524,437,63.133640552995395,-0.22313848083877796
DOGE-USD,5,7,6,0.015,0,-460.4283490246944,-15.34761163415648,24.396386988637524,437,63.133640552995395,-0.22313848083877796
DOGE-USD,5,7,6,0.02,10,-462.35963399055254,-15.411987799685084,24.45619037307674,435,62.96296296296296,-0.22406671943734008
DOGE-USD,5,7,6,0.02,20,-462.35963399055254,-15.411987799685084,24.45619037307674,435,62.96296296296296,-0.22406671943734008
DOGE-USD,5,7,6,0.02,50,-462.35963399055254,-15.411987799685084,24.45619037307674,435,62.96296296296296,-0.22406671943734008
DOGE-USD,5,7,6,0.02,0,-462.35963399055254,-15.411987799685084,24.45619037307674,435,62.96296296296296,-0.22406671943734008
DOGE-USD,5,7,6,0.03,10,-375.3577638285951,-12.511925460953172,20.902455698710124,417,62.80193236714976,-0.18555326642482425
DOGE-USD,5,7,6,0.03,20,-375.3577638285951,-12.511925460953172,20.902455698710124,417,62.80193236714976,-0.18555326642482425
DOGE-USD,5,7,6,0.03,50,-375.3577638285951,-12.511925460953172,20.902455698710124,417,62.80193236714976,-0.18555326642482425
DOGE-USD,5,7,6,0.03,0,-375.3577638285951,-12.511925460953172,20.902455698710124,417,62.80193236714976,-0.18555326642482425
DOGE-USD,5,7,6,0.05,10,-608.5763061594412,-20.285876871981372,25.131193926278172,289,56.64335664335665,-0.313619240967122
DOGE-USD,5,7,6,0.05,20,-608.5763061594412,-20.285876871981372,25.131193926278172,289,56.64335664335665,-0.313619240967122
DOGE-USD,5,7,6,0.05,50,-608.5763061594412,-20.285876871981372,25.131193926278172,289,56.64335664335665,-0.313619240967122
DOGE-USD,5,7,6,0.05,0,-608.5763061594412,-20.285876871981372,25.131193926278172,289,56.64335664335665,-0.313619240967122
DOGE-USD,5,7,12,0.01,10,25.469697859698044,0.8489899286566014,7.263489664526809,47,91.30434782608695,0.030839873496181957
DOGE-USD,5,7,12,0.01,20,25.469697859698044,0.8489899286566014,7.263489664526809,47,91.30434782608695,0.030839873496181957
DOGE-USD,5,7,12,0.01,50,25.469697859698044,0.8489899286566014,7.263489664526809,47,91.30434782608695,0.030839873496181957
DOGE-USD,5,7,12,0.01,0,25.469697859698044,0.8489899286566014,7.263489664526809,47,91.30434782608695,0.030839873496181957
DOGE-USD,5,7,12,0.015,10,25.469697859698044,0.8489899286566014,7.263489664526809,47,91.30434782608695,0.030839873496181957
DOGE-USD,5,7,12,0.015,20,25.469697859698044,0.8489899286566014,7.263489664526809,47,91.30434782608695,0.030839873496181957
DOGE-USD,5,7,12,0.015,50,25.469697859698044,0.8489899286566014,7.263489664526809,47,91.30434782608695,0.030839873496181957
DOGE-USD,5,7,12,0.015,0,25.469697859698044,0.8489899286566014,7.263489664526809,47,91.30434782608695,0.030839873496181957
DOGE-USD,5,7,12,0.02,10,25.469697859698044,0.8489899286566014,7.263489664526809,47,91.30434782608695,0.030839873496181957
DOGE-USD,5,7,12,0.02,20,25.469697859698044,0.8489899286566014,7.263489664526809,47,91.30434782608695,0.030839873496181957
DOGE-USD,5,7,12,0.02,50,25.469697859698044,0.8489899286566014,7.263489664526809,47,91.30434782608695,0.030839873496181957
DOGE-USD,5,7,12,0.02,0,25.469697859698044,0.8489899286566014,7.263489664526809,47,91.30434782608695,0.030839873496181957
DOGE-USD,5,7,12,0.03,10,31.306049656817322,1.0435349885605774,7.252971921950249,47,91.30434782608695,0.036256104883861974
DOGE-USD,5,7,12,0.03,20,31.306049656817322,1.0435349885605774,7.252971921950249,47,91.30434782608695,0.036256104883861974
DOGE-USD,5,7,12,0.03,50,31.306049656817322,1.0435349885605774,7.252971921950249,47,91.30434782608695,0.036256104883861974
DOGE-USD,5,7,12,0.03,0,31.306049656817322,1.0435349885605774,7.252971921950249,47,91.30434782608695,0.036256104883861974
DOGE-USD,5,7,12,0.05,10,22.880037208030444,0.7626679069343482,7.645739303554603,29,92.85714285714286,0.02817145260504689
DOGE-USD,5,7,12,0.05,20,22.880037208030444,0.7626679069343482,7.645739303554603,29,92.85714285714286,0.02817145260504689
DOGE-USD,5,7,12,0.05,50,22.880037208030444,0.7626679069343482,7.645739303554603,29,92.85714285714286,0.02817145260504689
DOGE-USD,5,7,12,0.05,0,22.880037208030444,0.7626679069343482,7.645739303554603,29,92.85714285714286,0.02817145260504689
DOGE-USD,5,7,24,0.01,10,-20.25112170229704,-0.675037390076568,7.6497324192973615,27,92.3076923076923,-0.011360327678579144
DOGE-USD,5,7,24,0.01,20,-20.25112170229704,-0.675037390076568,7.6497324192973615,27,92.3076923076923,-0.011360327678579144
DOGE-USD,5,7,24,0.01,50,-20.25112170229704,-0.675037390076568,7.6497324192973615,27,92.3076923076923,-0.011360327678579144
DOGE-USD,5,7,24,0.01,0,-20.25112170229704,-0.675037390076568,7.6497324192973615,27,92.3076923076923,-0.011360327678579144
DOGE-USD,5,7,24,0.015,10,-20.25112170229704,-0.675037390076568,7.6497324192973615,27,92.3076923076923,-0.011360327678579144
DOGE-USD,5,7,24,0.015,20,-20.25112170229704,-0.675037390076568,7.6497324192973615,27,92.3076923076923,-0.011360327678579144
DOGE-USD,5,7,24,0.015,50,-20.25112170229704,-0.675037390076568,7.6497324192973615,27,92.3076923076923,-0.011360327678579144
DOGE-USD,5,7,24,0.015,0,-20.25112170229704,-0.675037390076568,7.6497324192973615,27,92.3076923076923,-0.011360327678579144
DOGE-USD,5,7,24,0.02,10,-20.25112170229704,-0.675037390076568,7.6497324192973615,27,92.3076923076923,-0.011360327678579144
DOGE-USD,5,7,24,0.02,20,-20.25112170229704,-0.675037390076568,7.6497324192973615,27,92.3076923076923,-0.011360327678579144
DOGE-USD,5,7,24,0.02,50,-20.25112170229704,-0.675037390076568,7.6497324192973615,27,92.3076923076923,-0.011360327678579144
DOGE-USD,5,7,24,0.02,0,-20.25112170229704,-0.675037390076568,7.6497324192973615,27,92.3076923076923,-0.011360327678579144
